state,stateName,sexTraffickingCrimesReported,forcedLaborCrimesReported,sexAndLaborCrimes, other,totalCrimes, adultLabor, minorsLabor, femalesLabor, malesLabor, otherLabor, adultSex, minorsSex, femalesSex, malesSex, otherSex,color,population,traffickingCrimesReported
AL,ALABAMA,33,13,5,2,53,11,2,9,5,11,28,7,30,2,16,#626262,"4,858,979",0.679155024
AK,ALASKA,7,1,0,0,8,2,0,2,0,0,5,2,7,0,0,#626263,"738,432",0.947954585
AZ,ARIZONA,96,12,5,3,116,11,0,5,8,11,56,43,82,12,2,#626264,"6,828,065",1.405962011
AR,ARKANSAS,29,6,0,1,36,5,0,4,2,0,12,18,28,2,0,#626265,"2,978,204",0.973741221
CA,CALIFORNIA,781,108,34,56,979,89,21,79,39,0,527,252,729,31,11,#626266,"39,144,818",1.995155527
CO,COLORADO,48,22,5,2,77,18,4,10,12,0,33,14,44,4,0,#626267,"5,456,574",0.87967285
CT,CONNECTICUT,30,6,2,1,39,5,2,4,3,0,18,12,27,0,2,#626268,"3,590,886",0.83544841
DE,DELAWARE,3,2,0,0,5,2,0,2,0,0,2,2,3,0,0,#626269,"945,934",0.317146862
FL,FLORIDA,302,68,13,24,407,63,10,37,40,0,206,99,282,9,3,#626270,"20,271,272",1.489793043
GA,GEORGIA,151,26,8,6,191,25,2,9,19,0,106,48,144,3,0,#626271,"10,214,860",1.478238566
HI,HAWAII,21,2,2,2,27,2,0,0,2,0,17,6,21,0,0,#626272,"1,431,603",1.466887119
ID,IDAHO,6,0,0,0,6,0,0,0,0,0,4,2,5,2,0,#626273,"1,654,930",0.362553099
IL,ILLINOIS,92,25,0,5,122,22,2,12,12,2,68,27,84,3,0,#626274,"12,859,995",0.715396857
IN,INDIANA,32,13,5,3,53,12,3,7,6,10,22,11,31,0,16,#626275,"6,619,680",0.483407053
IA,IOWA,26,3,3,4,36,3,0,2,2,0,20,6,23,3,0,#626276,"3,123,899",0.832293234
KS,KANSAS,31,6,2,4,43,4,0,2,3,0,19,14,28,2,0,#626277,"2,911,641",1.064691698
KY,KENTUCKY,45,9,3,6,63,6,2,5,5,0,28,19,41,3,2,#626278,"4,425,092",1.01692801
LA,LOUISIANA,57,9,5,4,75,5,4,2,8,0,31,21,51,2,2,#626279,"4,670,724",1.220367549
ME,MAINE,7,2,1,0,10,2,0,2,0,0,3,2,6,0,0,#626280,"1,329,328",0.526581852
MD,MARYLAND,93,17,1,7,118,15,2,11,5,0,59,29,87,2,0,#626281,"6,006,401",1.548348171
MA,MASSACHUSETTS,51,4,1,6,62,4,2,3,2,0,36,17,45,5,0,#626282,"6,794,422",0.750615726
MI,MICHIGAN,122,18,7,5,152,16,2,9,10,0,66,48,107,6,0,#626283,"9,922,576",1.229519431
MN,MINNESOTA,27,8,0,1,36,8,0,5,4,0,18,10,25,2,0,#626284,"5,489,594",0.491839652
MS,MISSISSIPPI,26,5,2,3,36,4,2,2,3,0,18,7,24,2,0,#626285,"2,992,333",0.868887253
MO,MISSOURI,58,4,1,4,67,4,2,4,2,0,36,20,54,3,0,#626286,"6,083,672",0.953371582
MT,MONTANA,11,5,0,3,19,5,0,2,3,0,10,2,11,2,0,#626287,"1,032,949",1.064912208
NE,NEBRASKA,14,7,1,2,24,6,2,2,5,0,7,6,14,0,0,#626288,"1,896,190",0.738322636
NV,NEVADA,114,11,4,4,133,10,2,5,7,0,85,31,107,6,0,#626289,"2,890,845",3.943483653
NH,NEW HAMPSHIRE,8,3,0,1,12,3,0,2,2,0,7,2,7,2,0,#626290,"1,330,608",0.601228912
NJ,NEW JERSEY,139,13,4,13,169,13,2,8,6,0,57,75,129,3,0,#626291,"8,958,013",1.551683392
NM,NEW MEXICO,22,5,0,1,28,3,2,3,4,0,14,8,16,4,0,#626292,"2,085,109",1.055100717
NY,NEW YORK,217,39,15,10,281,27,6,26,15,0,141,69,199,4,0,#626293,"19,795,791",1.09619262
NC,NORTH CAROLINA,78,22,3,7,110,19,2,11,13,0,48,31,70,4,0,#626294,"10,042,802",0.776675673
ND,NORTH DAKOTA,15,4,0,0,19,3,2,3,2,0,6,8,15,0,0,#626295,"756,927",1.981697046
OH,OHIO,233,18,8,30,289,14,4,12,6,0,172,53,218,8,2,#626296,"11,613,423",2.00629909
OK,OKLAHOMA,28,9,4,1,42,9,2,5,6,0,18,10,27,2,0,#626297,"3,911,338",0.715867562
OR,OREGON,44,8,1,3,56,6,2,7,2,0,32,11,42,0,2,#626298,"4,028,977",1.092088637
PA,PENNSYLVANIA,80,15,6,5,106,14,2,9,7,0,53,20,68,4,2,#626299,"12,802,503",0.624877807
RI,RHODE ISLAND,5,1,1,1,8,2,0,2,0,0,5,2,5,0,0,#626300,"1,056,298",0.47335127
SC,SOUTH CAROLINA,42,14,1,4,61,13,0,6,11,0,26,22,39,3,0,#626301,"4,896,146",0.857817557
SD,SOUTH DAKOTA,9,5,1,0,15,4,0,4,2,0,6,3,9,0,0,#626302,"858,469",1.048377985
TN,TENNESSEE,53,12,1,3,69,10,2,6,7,0,28,23,51,3,2,#626303,"6,600,299",0.802993925
TX,TEXAS,337,63,16,17,433,50,16,32,34,0,205,123,312,11,2,#626304,"27,469,114",1.226832434
UT,UTAH,15,3,4,0,22,2,2,3,0,0,10,4,14,0,0,#626305,"2,995,919",0.500681093
VT,VERMONT,3,1,0,1,5,2,0,0,2,0,2,2,3,0,0,#626306,"626,042",0.479201076
VA,VIRGINIA,7,1,1,1,10,2,0,2,0,0,3,3,7,0,0,#626307,"8,382,993",0.083502396
WA,WASHINGTON,86,13,7,5,111,11,2,8,4,2,48,26,81,5,0,#626308,"7,170,351",1.199383405
WV,WEST VIRGINIA,7,1,1,1,10,2,0,2,0,0,3,3,7,0,0,#626309,"1,844,128",0.379583196
WI,WISCONSIN,45,3,2,0,50,3,0,2,0,0,35,11,43,0,0,#626310,"5,771,337",0.779715342
WY,WYOMING,1,4,0,1,6,4,0,3,0,0,2,0,2,0,0,#626311,"586,107",0.17061731
